Start datum,Eind datum,Verbruik in kW/h
04-12-2023 14:15,04-12-2023 14:30,0.000000
04-12-2023 14:30,04-12-2023 14:45,0.000000
04-12-2023 14:45,04-12-2023 15:00,0.512000
04-12-2023 15:00,04-12-2023 15:15,0.912000
04-12-2023 15:15,04-12-2023 15:30,0.875000
04-12-2023 15:30,04-12-2023 15:45,0.812000
04-12-2023 15:45,04-12-2023 16:00,0.725000
04-12-2023 16:00,04-12-2023 16:15,0.725000
04-12-2023 16:15,04-12-2023 16:30,0.838000
04-12-2023 16:30,04-12-2023 16:45,0.725000
04-12-2023 16:45,04-12-2023 17:00,0.775000
04-12-2023 17:00,04-12-2023 17:15,0.762000
04-12-2023 17:15,04-12-2023 17:30,0.775000
04-12-2023 17:30,04-12-2023 17:45,0.725000
04-12-2023 17:45,04-12-2023 18:00,0.825000
04-12-2023 18:00,04-12-2023 18:15,0.838000
04-12-2023 18:15,04-12-2023 18:30,0.812000
04-12-2023 18:30,04-12-2023 18:45,0.812000
04-12-2023 18:45,04-12-2023 19:00,0.875000
04-12-2023 19:00,04-12-2023 19:15,0.838000
04-12-2023 19:15,04-12-2023 19:30,0.850000
04-12-2023 19:30,04-12-2023 19:45,0.688000
04-12-2023 19:45,04-12-2023 20:00,0.750000
04-12-2023 20:00,04-12-2023 20:15,0.725000
04-12-2023 20:15,04-12-2023 20:30,0.775000
04-12-2023 20:30,04-12-2023 20:45,0.775000
04-12-2023 20:45,04-12-2023 21:00,0.712000
04-12-2023 21:00,04-12-2023 21:15,0.738000
04-12-2023 21:15,04-12-2023 21:30,0.738000
04-12-2023 21:30,04-12-2023 21:45,0.850000
04-12-2023 21:45,04-12-2023 22:00,0.762000
04-12-2023 22:00,04-12-2023 22:15,0.725000
04-12-2023 22:15,04-12-2023 22:30,0.725000
04-12-2023 22:30,04-12-2023 22:45,0.838000
04-12-2023 22:45,04-12-2023 23:00,0.738000
04-12-2023 23:00,04-12-2023 23:15,0.725000
04-12-2023 23:15,04-12-2023 23:30,0.738000
04-12-2023 23:30,04-12-2023 23:45,0.738000
04-12-2023 23:45,05-12-2023 00:00,0.675000
05-12-2023 00:00,05-12-2023 00:15,0.738000
05-12-2023 00:15,05-12-2023 00:30,0.738000
05-12-2023 00:30,05-12-2023 00:45,0.775000
05-12-2023 00:45,05-12-2023 01:00,0.738000
05-12-2023 01:00,05-12-2023 01:15,0.762000
05-12-2023 01:15,05-12-2023 01:30,0.775000
05-12-2023 01:30,05-12-2023 01:45,0.738000
05-12-2023 01:45,05-12-2023 02:00,0.738000
05-12-2023 02:00,05-12-2023 02:15,0.750000
05-12-2023 02:15,05-12-2023 02:30,0.750000
05-12-2023 02:30,05-12-2023 02:45,0.762000
05-12-2023 02:45,05-12-2023 03:00,0.712000
05-12-2023 03:00,05-12-2023 03:15,0.750000
05-12-2023 03:15,05-12-2023 03:30,0.750000
05-12-2023 03:30,05-12-2023 03:45,0.750000
05-12-2023 03:45,05-12-2023 04:00,0.725000
05-12-2023 04:00,05-12-2023 04:15,0.762000
05-12-2023 04:15,05-12-2023 04:30,0.725000
05-12-2023 04:30,05-12-2023 04:45,0.750000
05-12-2023 04:45,05-12-2023 05:00,0.738000
05-12-2023 05:00,05-12-2023 05:15,0.725000
05-12-2023 05:15,05-12-2023 05:30,0.750000
05-12-2023 05:30,05-12-2023 05:45,0.812000
05-12-2023 05:45,05-12-2023 06:00,0.712000
05-12-2023 06:00,05-12-2023 06:15,0.712000
05-12-2023 06:15,05-12-2023 06:30,0.738000
05-12-2023 06:30,05-12-2023 06:45,0.688000
05-12-2023 06:45,05-12-2023 07:00,0.762000
05-12-2023 07:00,05-12-2023 07:15,0.712000
05-12-2023 07:15,05-12-2023 07:30,0.750000
05-12-2023 07:30,05-12-2023 07:45,0.812000
05-12-2023 07:45,05-12-2023 08:00,0.750000
05-12-2023 08:00,05-12-2023 08:15,0.762000
05-12-2023 08:15,05-12-2023 08:30,0.762000
05-12-2023 08:30,05-12-2023 08:45,0.775000
05-12-2023 08:45,05-12-2023 09:00,0.738000
05-12-2023 09:00,05-12-2023 09:15,0.838000
05-12-2023 09:15,05-12-2023 09:30,0.838000
05-12-2023 09:30,05-12-2023 09:45,0.762000
05-12-2023 09:45,05-12-2023 10:00,0.750000
05-12-2023 10:00,05-12-2023 10:15,0.712000
05-12-2023 10:15,05-12-2023 10:30,0.775000
05-12-2023 10:30,05-12-2023 10:45,0.775000
05-12-2023 10:45,05-12-2023 11:00,0.875000
05-12-2023 11:00,05-12-2023 11:15,0.825000
